"GID","GENETYPE"
106899195,"protein-coding"
106887067,"protein-coding"
106890364,"protein-coding"
106901974,"protein-coding"
106902667,"protein-coding"
106892280,"protein-coding"
106894532,"protein-coding"
106887436,"protein-coding"
106898423,"protein-coding"
106886962,"protein-coding"
106892374,"protein-coding"
106900129,"protein-coding"
106900865,"protein-coding"
106892510,"protein-coding"
106885483,"protein-coding"
106901986,"protein-coding"
106902539,"protein-coding"
106889263,"protein-coding"
106888238,"protein-coding"
106885977,"protein-coding"
106889625,"protein-coding"
106894373,"protein-coding"
106885447,"protein-coding"
106889915,"protein-coding"
106885846,"protein-coding"
106897588,"protein-coding"
106896125,"protein-coding"
106892471,"protein-coding"
106888233,"protein-coding"
106885489,"protein-coding"
106886000,"protein-coding"
106901826,"protein-coding"
106891148,"protein-coding"
106887307,"protein-coding"
106898374,"protein-coding"
106898914,"protein-coding"
106894153,"protein-coding"
106899865,"protein-coding"
106892320,"protein-coding"
106897589,"protein-coding"
106895240,"protein-coding"
106902245,"protein-coding"
106897587,"protein-coding"
106892645,"protein-coding"
106897317,"protein-coding"
106901503,"protein-coding"
106901898,"protein-coding"
106901681,"protein-coding"
106897512,"protein-coding"
106897214,"protein-coding"
106894793,"protein-coding"
106901235,"protein-coding"
106884950,"protein-coding"
106884735,"protein-coding"
106886055,"protein-coding"
106895021,"protein-coding"
106888252,"protein-coding"
106892031,"protein-coding"
106885604,"protein-coding"
106885878,"protein-coding"
106894832,"protein-coding"
106901442,"protein-coding"
106893558,"protein-coding"
106901010,"protein-coding"
106900810,"protein-coding"
106900127,"protein-coding"
106887202,"protein-coding"
106898745,"protein-coding"
106894196,"protein-coding"
106899854,"protein-coding"
106894152,"protein-coding"
106897825,"protein-coding"
106885858,"protein-coding"
106897461,"protein-coding"
106897699,"protein-coding"
106888614,"protein-coding"
106896374,"protein-coding"
106902294,"protein-coding"
106889518,"protein-coding"
106897882,"protein-coding"
106892692,"protein-coding"
106891565,"protein-coding"
106896347,"protein-coding"
106888295,"protein-coding"
106896048,"protein-coding"
106898042,"protein-coding"
106884837,"protein-coding"
106899201,"protein-coding"
106886154,"protein-coding"
106888261,"protein-coding"
106894276,"protein-coding"
106898793,"protein-coding"
106899003,"protein-coding"
106897058,"protein-coding"
106894500,"protein-coding"
106886714,"protein-coding"
106899331,"protein-coding"
106901946,"protein-coding"
106899691,"protein-coding"
106897379,"protein-coding"
106896388,"protein-coding"
106896155,"protein-coding"
106897297,"protein-coding"
106894230,"protein-coding"
106891725,"protein-coding"
106889556,"protein-coding"
106887910,"protein-coding"
106890894,"protein-coding"
106902896,"protein-coding"
106890438,"protein-coding"
106901477,"protein-coding"
106888423,"protein-coding"
106889425,"protein-coding"
106892112,"protein-coding"
106890453,"protein-coding"
106897279,"protein-coding"
106898420,"protein-coding"
106893466,"protein-coding"
106895897,"protein-coding"
106886031,"protein-coding"
106896233,"protein-coding"
106888503,"protein-coding"
106894876,"protein-coding"
106885193,"protein-coding"
106885186,"protein-coding"
106901659,"protein-coding"
106896205,"protein-coding"
106887206,"protein-coding"
106893663,"protein-coding"
106900442,"protein-coding"
106892412,"protein-coding"
106892383,"protein-coding"
106892381,"protein-coding"
106896687,"protein-coding"
106894779,"protein-coding"
106891653,"protein-coding"
106892388,"protein-coding"
106890194,"protein-coding"
106893935,"protein-coding"
106900916,"protein-coding"
106898864,"protein-coding"
106895703,"protein-coding"
106897204,"protein-coding"
106885714,"protein-coding"
106894101,"protein-coding"
106888750,"protein-coding"
106901256,"protein-coding"
106888310,"protein-coding"
106898142,"protein-coding"
106889747,"protein-coding"
106899424,"protein-coding"
106890948,"protein-coding"
106896006,"protein-coding"
106892307,"protein-coding"
106885104,"protein-coding"
106896005,"protein-coding"
106884747,"protein-coding"
106889572,"protein-coding"
106888029,"protein-coding"
106895519,"protein-coding"
106898213,"protein-coding"
106898338,"protein-coding"
106896082,"protein-coding"
106902011,"protein-coding"
106892425,"protein-coding"
106885832,"protein-coding"
106887999,"protein-coding"
106889704,"protein-coding"
106898598,"protein-coding"
106888773,"protein-coding"
106899989,"protein-coding"
106884995,"protein-coding"
106896413,"protein-coding"
106892768,"protein-coding"
106896800,"protein-coding"
106886559,"protein-coding"
106889099,"protein-coding"
106898523,"protein-coding"
106889702,"protein-coding"
106899648,"protein-coding"
106895718,"protein-coding"
106888000,"protein-coding"
106889267,"protein-coding"
106892829,"protein-coding"
106892561,"protein-coding"
106888064,"protein-coding"
106889719,"protein-coding"
106887529,"protein-coding"
106884774,"protein-coding"
106888401,"protein-coding"
106896922,"protein-coding"
106902303,"protein-coding"
106890366,"protein-coding"
106897438,"protein-coding"
106897939,"protein-coding"
106892706,"protein-coding"
106889929,"protein-coding"
106891492,"protein-coding"
106896467,"protein-coding"
106886041,"protein-coding"
106886476,"protein-coding"
106899832,"protein-coding"
106896919,"protein-coding"
106899311,"protein-coding"
106899332,"protein-coding"
106896185,"protein-coding"
106896275,"protein-coding"
106887587,"protein-coding"
106902550,"protein-coding"
106898706,"protein-coding"
106897737,"protein-coding"
106887968,"protein-coding"
106898860,"protein-coding"
106886893,"protein-coding"
106898593,"protein-coding"
106894558,"protein-coding"
106901303,"protein-coding"
106884705,"protein-coding"
106892079,"protein-coding"
106886679,"protein-coding"
106886768,"protein-coding"
106898486,"protein-coding"
106896560,"protein-coding"
106894267,"protein-coding"
106890290,"protein-coding"
106901979,"protein-coding"
106888778,"protein-coding"
106901620,"protein-coding"
106891258,"protein-coding"
106886985,"protein-coding"
106894880,"protein-coding"
106887795,"protein-coding"
106885876,"protein-coding"
106895679,"protein-coding"
106889274,"protein-coding"
106895599,"protein-coding"
106891867,"protein-coding"
106893174,"protein-coding"
106901407,"protein-coding"
106897746,"protein-coding"
106896572,"protein-coding"
106894025,"protein-coding"
106898636,"protein-coding"
106893224,"protein-coding"
106898318,"protein-coding"
106887134,"protein-coding"
106894864,"protein-coding"
106890784,"protein-coding"
106901212,"protein-coding"
106891366,"protein-coding"
106902411,"protein-coding"
106895499,"protein-coding"
106891094,"protein-coding"
106890227,"protein-coding"
106897304,"protein-coding"
106901967,"protein-coding"
106895015,"protein-coding"
106897860,"protein-coding"
106885573,"protein-coding"
106895942,"protein-coding"
106896992,"protein-coding"
106890998,"protein-coding"
106884881,"protein-coding"
106900088,"protein-coding"
106890789,"protein-coding"
106890481,"protein-coding"
106890770,"protein-coding"
106886586,"protein-coding"
106901360,"protein-coding"
106901607,"protein-coding"
106890235,"protein-coding"
106900039,"protein-coding"
106885775,"protein-coding"
106894038,"protein-coding"
106886627,"protein-coding"
106890323,"protein-coding"
106886466,"protein-coding"
106897193,"protein-coding"
106890936,"protein-coding"
106893265,"protein-coding"
106899149,"protein-coding"
106889539,"protein-coding"
106884883,"protein-coding"
106884636,"protein-coding"
106895029,"protein-coding"
106900402,"protein-coding"
106892108,"protein-coding"
106888497,"protein-coding"
106889481,"protein-coding"
106887925,"protein-coding"
106895542,"protein-coding"
106898346,"protein-coding"
106893994,"protein-coding"
106894271,"protein-coding"
106885038,"protein-coding"
106889389,"protein-coding"
106901013,"protein-coding"
106900004,"protein-coding"
106901812,"protein-coding"
106893894,"protein-coding"
106891357,"protein-coding"
106892564,"protein-coding"
106885013,"protein-coding"
106901468,"protein-coding"
106886283,"protein-coding"
106893257,"protein-coding"
106889200,"protein-coding"
106891642,"protein-coding"
106897531,"protein-coding"
106890051,"protein-coding"
106902831,"protein-coding"
106902162,"protein-coding"
106896701,"protein-coding"
106898489,"protein-coding"
106892197,"protein-coding"
106897402,"protein-coding"
106898845,"protein-coding"
106896180,"protein-coding"
106899258,"protein-coding"
106888751,"protein-coding"
106900947,"protein-coding"
106896454,"protein-coding"
106900033,"protein-coding"
106897189,"protein-coding"
106900421,"protein-coding"
106886956,"protein-coding"
106899789,"protein-coding"
106888577,"protein-coding"
106890367,"protein-coding"
106898173,"protein-coding"
106898875,"protein-coding"
106887137,"protein-coding"
106887903,"protein-coding"
106901774,"protein-coding"
106885237,"protein-coding"
106898623,"protein-coding"
106902863,"protein-coding"
106901169,"protein-coding"
106902732,"protein-coding"
106899473,"protein-coding"
106897661,"protein-coding"
106891163,"protein-coding"
106896452,"protein-coding"
106895018,"protein-coding"
106889664,"protein-coding"
106887617,"protein-coding"
106898780,"protein-coding"
106898846,"protein-coding"
106886984,"protein-coding"
106895311,"protein-coding"
106894618,"protein-coding"
106897033,"protein-coding"
106886570,"protein-coding"
106889608,"protein-coding"
106888839,"protein-coding"
106894685,"protein-coding"
106893538,"protein-coding"
106892271,"protein-coding"
106888516,"protein-coding"
106885524,"protein-coding"
106888938,"protein-coding"
106893975,"protein-coding"
106896689,"protein-coding"
106899686,"protein-coding"
106885100,"protein-coding"
106901019,"protein-coding"
106902837,"protein-coding"
106902134,"protein-coding"
106896702,"protein-coding"
106887777,"protein-coding"
106892408,"protein-coding"
106900268,"protein-coding"
106889871,"protein-coding"
106891156,"protein-coding"
106895221,"protein-coding"
106893353,"protein-coding"
106901186,"protein-coding"
106888931,"protein-coding"
106898191,"protein-coding"
106901195,"protein-coding"
106884750,"protein-coding"
106898915,"protein-coding"
106891141,"protein-coding"
106897296,"protein-coding"
106892784,"protein-coding"
106890900,"protein-coding"
106893876,"protein-coding"
106897122,"protein-coding"
106891115,"protein-coding"
106895578,"protein-coding"
106900800,"protein-coding"
106886460,"protein-coding"
106901771,"protein-coding"
106893596,"protein-coding"
106895294,"protein-coding"
106884972,"protein-coding"
106901724,"protein-coding"
106902555,"protein-coding"
106888237,"protein-coding"
106896818,"protein-coding"
106887155,"protein-coding"
106902884,"protein-coding"
106889474,"protein-coding"
106894068,"protein-coding"
106891275,"protein-coding"
106898867,"protein-coding"
106891426,"protein-coding"
106895159,"protein-coding"
106889245,"protein-coding"
106886713,"protein-coding"
106895500,"protein-coding"
106886750,"protein-coding"
106886923,"protein-coding"
106900499,"protein-coding"
106890261,"protein-coding"
106890253,"protein-coding"
106896881,"protein-coding"
106891059,"protein-coding"
106893633,"protein-coding"
106895548,"protein-coding"
106901353,"protein-coding"
106899914,"protein-coding"
106894541,"protein-coding"
106901205,"protein-coding"
106897798,"protein-coding"
106895816,"protein-coding"
106885523,"protein-coding"
106888385,"protein-coding"
106889259,"protein-coding"
106892302,"protein-coding"
106898226,"protein-coding"
106892141,"protein-coding"
106897740,"protein-coding"
106895876,"protein-coding"
106892168,"protein-coding"
106897914,"protein-coding"
106895323,"protein-coding"
106897472,"protein-coding"
106892359,"protein-coding"
106897036,"protein-coding"
106898197,"protein-coding"
106891790,"protein-coding"
106892863,"protein-coding"
106885658,"protein-coding"
106885655,"protein-coding"
54124889,"protein-coding"
106901356,"protein-coding"
106898930,"protein-coding"
106885776,"protein-coding"
106898072,"protein-coding"
106901923,"protein-coding"
106885255,"protein-coding"
106886486,"protein-coding"
106897808,"protein-coding"
106891990,"protein-coding"
106902152,"protein-coding"
106891409,"protein-coding"
106902911,"protein-coding"
106897632,"protein-coding"
106902230,"protein-coding"
106896682,"protein-coding"
106887936,"protein-coding"
106885353,"protein-coding"
106893989,"protein-coding"
106888870,"protein-coding"
106885111,"protein-coding"
106895677,"protein-coding"
106902612,"protein-coding"
54124885,"protein-coding"
106897275,"protein-coding"
106902520,"protein-coding"
106886650,"protein-coding"
106899423,"protein-coding"
106897367,"protein-coding"
106889013,"protein-coding"
106887493,"protein-coding"
106886489,"protein-coding"
106884708,"protein-coding"
106887421,"protein-coding"
106893615,"protein-coding"
106899973,"protein-coding"
106894721,"protein-coding"
106902945,"protein-coding"
106898306,"protein-coding"
106895587,"protein-coding"
106887285,"protein-coding"
106885868,"protein-coding"
106888226,"protein-coding"
106900208,"protein-coding"
106897159,"protein-coding"
106890813,"protein-coding"
106901283,"protein-coding"
106896455,"protein-coding"
106891202,"protein-coding"
106890093,"protein-coding"
106889074,"protein-coding"
106887684,"protein-coding"
106894402,"protein-coding"
106887877,"protein-coding"
106892343,"protein-coding"
106897070,"protein-coding"
106901006,"protein-coding"
106895806,"protein-coding"
106888820,"protein-coding"
106893931,"protein-coding"
106885516,"protein-coding"
106902168,"protein-coding"
106890566,"protein-coding"
106899692,"protein-coding"
106890257,"protein-coding"
106892918,"protein-coding"
106895206,"protein-coding"
106888919,"protein-coding"
106888489,"protein-coding"
106885669,"protein-coding"
106887768,"protein-coding"
106887824,"protein-coding"
106885049,"protein-coding"
106902551,"protein-coding"
106901752,"protein-coding"
106895894,"protein-coding"
106899196,"protein-coding"
106886717,"protein-coding"
106890138,"protein-coding"
106897011,"protein-coding"
106894325,"protein-coding"
106885223,"protein-coding"
106887254,"protein-coding"
106886490,"protein-coding"
106899940,"protein-coding"
106896920,"protein-coding"
106889009,"protein-coding"
106885080,"protein-coding"
106891295,"protein-coding"
106884709,"protein-coding"
106900133,"protein-coding"
106893198,"protein-coding"
106892364,"protein-coding"
106885640,"protein-coding"
106885730,"protein-coding"
106901562,"protein-coding"
106886027,"protein-coding"
106889164,"protein-coding"
106889888,"protein-coding"
106897619,"protein-coding"
106897183,"protein-coding"
106892472,"protein-coding"
106887262,"protein-coding"
106892482,"protein-coding"
106893411,"protein-coding"
106901127,"protein-coding"
106894809,"protein-coding"
106889777,"protein-coding"
106887052,"protein-coding"
106888073,"protein-coding"
106898308,"protein-coding"
106888524,"protein-coding"
106886300,"protein-coding"
106893502,"protein-coding"
106893656,"protein-coding"
106887495,"protein-coding"
106887898,"protein-coding"
106892966,"protein-coding"
106888009,"protein-coding"
106898458,"protein-coding"
106898225,"protein-coding"
106902757,"protein-coding"
106897987,"protein-coding"
106892294,"protein-coding"
106894829,"protein-coding"
106900992,"protein-coding"
106897018,"protein-coding"
106894863,"protein-coding"
106895203,"protein-coding"
106892705,"protein-coding"
106891077,"protein-coding"
106899432,"protein-coding"
