"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0032388","positive regulation of intracellular transport","1/4","170/10432",0.0636168526291232,0.0582990352266888,"LOC106888173",1,"Up-regulated"
"BP","GO:0001894","tissue homeostasis","1/4","179/10432",0.0668979273141141,0.0591044879895705,"LOC106888173",1,"Up-regulated"
"BP","GO:0001889","liver development","1/4","182/10432",0.0679897003062248,0.0591044879895705,"CCDC40",1,"Up-regulated"
"BP","GO:0071695","anatomical structure maturation","1/4","183/10432",0.0683534116426907,0.0591044879895705,"LOC106888173",1,"Up-regulated"
"BP","GO:0061008","hepaticobiliary system development","1/4","184/10432",0.0687170165166715,0.0591044879895705,"CCDC40",1,"Up-regulated"
"BP","GO:0043588","skin development","1/4","186/10432",0.0694439069602847,0.0591044879895705,"LOC106888173",1,"Up-regulated"
"BP","GO:0045216","cell-cell junction organization","1/4","187/10432",0.0698071925714657,0.0591044879895705,"LOC106888173",1,"Up-regulated"
"BP","GO:1901617","organic hydroxy compound biosynthetic process","1/4","187/10432",0.0698071925714657,0.0591044879895705,"LOC106888173",1,"Up-regulated"
"BP","GO:0032886","regulation of microtubule-based process","1/4","190/10432",0.0708964112117523,0.0593812612299906,"CCDC40",1,"Up-regulated"
"BP","GO:0060541","respiratory system development","1/4","195/10432",0.072709649547282,0.0602521172060343,"CCDC40",1,"Up-regulated"
"BP","GO:0021700","developmental maturation","1/4","209/10432",0.0777725987963355,0.0637692222817598,"LOC106888173",1,"Up-regulated"
"BP","GO:0060070","canonical Wnt signaling pathway","1/4","221/10432",0.0820957434432181,0.0666127742850673,"LOC106888173",1,"Up-regulated"
"BP","GO:0051650","establishment of vesicle localization","1/4","229/10432",0.084969383714762,0.068233688495848,"LOC106888173",1,"Up-regulated"
"BP","GO:0007018","microtubule-based movement","1/4","239/10432",0.0885519394991957,0.0698128867458086,"CCDC40",1,"Up-regulated"
"BP","GO:0008544","epidermis development","1/4","241/10432",0.0892671863696457,0.0698128867458086,"LOC106888173",1,"Up-regulated"
"BP","GO:0003007","heart morphogenesis","1/4","242/10432",0.089624651903403,0.0698128867458086,"CCDC40",1,"Up-regulated"
"BP","GO:0051648","vesicle localization","1/4","245/10432",0.0906964171467142,0.0699482529323278,"LOC106888173",1,"Up-regulated"
"BP","GO:0050678","regulation of epithelial cell proliferation","1/4","256/10432",0.0946181285621253,0.0722573943611689,"LOC106888173",1,"Up-regulated"
"BP","GO:0001822","kidney development","1/4","260/10432",0.09604105546358,0.0726319683628505,"CCDC40",1,"Up-regulated"
"BP","GO:0072001","renal system development","1/4","274/10432",0.101008094836604,0.0756538362136509,"CCDC40",1,"Up-regulated"
"BP","GO:0060249","anatomical structure homeostasis","1/4","287/10432",0.105601990672139,0.0783413264134167,"LOC106888173",1,"Up-regulated"
"BP","GO:0048562","embryonic organ morphogenesis","1/4","295/10432",0.108420238361582,0.0796732635427713,"CCDC40",1,"Up-regulated"
"BP","GO:0001655","urogenital system development","1/4","301/10432",0.11052954933519,0.0804642070910381,"CCDC40",1,"Up-regulated"
"BP","GO:0060271","cilium assembly","1/4","310/10432",0.113686495509322,0.0814990051104657,"CCDC40",1,"Up-regulated"
"BP","GO:0050673","epithelial cell proliferation","1/4","312/10432",0.114386896336741,0.0814990051104657,"LOC106888173",1,"Up-regulated"
"BP","GO:0032386","regulation of intracellular transport","1/4","315/10432",0.115436719136926,0.0814990051104657,"LOC106888173",1,"Up-regulated"
"BP","GO:0044782","cilium organization","1/4","317/10432",0.116136082282414,0.0814990051104657,"CCDC40",1,"Up-regulated"
"BP","GO:0060562","epithelial tube morphogenesis","1/4","337/10432",0.123106927583177,0.0856194797101044,"CCDC40",1,"Up-regulated"
"BP","GO:0016055","Wnt signaling pathway","1/4","342/10432",0.124843177091796,0.0857777897520185,"LOC106888173",1,"Up-regulated"
"BP","GO:0198738","cell-cell signaling by wnt","1/4","344/10432",0.1255369544614,0.0857777897520185,"LOC106888173",1,"Up-regulated"
"BP","GO:0003002","regionalization","1/4","381/10432",0.138297589781333,0.0936752553209944,"CCDC40",1,"Up-regulated"
"BP","GO:0007389","pattern specification process","1/4","402/10432",0.145477691863194,0.0976891941731067,"CCDC40",1,"Up-regulated"
"BP","GO:1901615","organic hydroxy compound metabolic process","1/4","409/10432",0.147861057772478,0.0984410101229271,"LOC106888173",1,"Up-regulated"
"BP","GO:0051656","establishment of organelle localization","1/4","413/10432",0.149220740697553,0.0985043248137284,"LOC106888173",1,"Up-regulated"
"BP","GO:0001817","regulation of cytokine production","1/4","418/10432",0.150918055420918,0.0987875816112159,"LOC106888173",1,"Up-regulated"
"MF","GO:0003735","structural constituent of ribosome","1/1","103/8908",0.011562640323305,0.0119644081015291,"RPS29",1,"Up-regulated"
"MF","GO:0008270","zinc ion binding","1/1","261/8908",0.029299506061967,0.0119644081015291,"RPS29",1,"Up-regulated"
"MF","GO:0046914","transition metal ion binding","1/1","369/8908",0.0414234396048497,0.0119644081015291,"RPS29",1,"Up-regulated"
"MF","GO:0005198","structural molecule activity","1/1","405/8908",0.0454647507858107,0.0119644081015291,"RPS29",1,"Up-regulated"
"MF","GO:0046872","metal ion binding","1/1","691/8908",0.0775707229456668,0.0163306785148772,"RPS29",1,"Up-regulated"
"BP","GO:0042403","thyroid hormone metabolic process","1/2","14/10432",0.00268237653455128,0.0383104749704897,"LOC106885081",1,"Down-regulated"
"BP","GO:1990845","adaptive thermogenesis","1/2","15/10432",0.00287383701131527,0.0383104749704897,"LOC106895786",1,"Down-regulated"
"BP","GO:0042572","retinol metabolic process","1/2","17/10432",0.00325670282599111,0.0383104749704897,"LOC106885081",1,"Down-regulated"
"BP","GO:0010155","regulation of proton transport","1/2","19/10432",0.00363949512219652,0.0383104749704897,"LOC106895786",1,"Down-regulated"
"BP","GO:0048599","oocyte development","1/2","47/10432",0.00899086782967029,0.0451727842522961,"LOC106885081",1,"Down-regulated"
"BP","GO:0097009","energy homeostasis","1/2","47/10432",0.00899086782967029,0.0451727842522961,"LOC106895786",1,"Down-regulated"
"BP","GO:0034308","primary alcohol metabolic process","1/2","49/10432",0.00937255734881803,0.0451727842522961,"LOC106885081",1,"Down-regulated"
"BP","GO:0009994","oocyte differentiation","1/2","50/10432",0.0095633745389655,0.0451727842522961,"LOC106885081",1,"Down-regulated"
"BP","GO:0001523","retinoid metabolic process","1/2","53/10432",0.0101357158317026,0.0451727842522961,"LOC106885081",1,"Down-regulated"
"BP","GO:0016101","diterpenoid metabolic process","1/2","62/10432",0.0118517472105624,0.0451727842522961,"LOC106885081",1,"Down-regulated"
"BP","GO:0006721","terpenoid metabolic process","1/2","68/10432",0.0129949410470088,0.0451727842522961,"LOC106885081",1,"Down-regulated"
"BP","GO:0048477","oogenesis","1/2","70/10432",0.0133758586222166,0.0451727842522961,"LOC106885081",1,"Down-regulated"
"BP","GO:0051289","protein homotetramerization","1/2","73/10432",0.0139470971378964,0.0451727842522961,"LOC106885081",1,"Down-regulated"
"BP","GO:0120254","olefinic compound metabolic process","1/2","80/10432",0.0152793437211991,0.0455590092211354,"LOC106885081",1,"Down-regulated"
"BP","GO:1902600","proton transmembrane transport","1/2","93/10432",0.0177511265970416,0.0467134910448463,"LOC106895786",1,"Down-regulated"
"BP","GO:0006720","isoprenoid metabolic process","1/2","99/10432",0.0188909018246106,0.0467886113303049,"LOC106885081",1,"Down-regulated"
"BP","GO:0051262","protein tetramerization","1/2","111/10432",0.0211684672810457,0.0495168825287619,"LOC106885081",1,"Down-regulated"
"BP","GO:0007292","female gamete generation","1/2","120/10432",0.022874904499507,0.0506923091401818,"LOC106885081",1,"Down-regulated"
"BP","GO:0006575","cellular modified amino acid metabolic process","1/2","155/10432",0.0294968969323977,0.0620987303839951,"LOC106885081",1,"Down-regulated"
"BP","GO:0042445","hormone metabolic process","1/2","163/10432",0.0310073339085418,0.0621700930497079,"LOC106885081",1,"Down-regulated"
"BP","GO:0009615","response to virus","1/2","171/10432",0.0325165945891585,0.0622327169170497,"LOC106885081",1,"Down-regulated"
"BP","GO:0007281","germ cell development","1/2","194/10432",0.0368491667122481,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0048588","developmental cell growth","1/2","200/10432",0.0379778038915384,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0022898","regulation of transmembrane transporter activity","1/2","204/10432",0.0387298610853797,0.0624218247148173,"LOC106895786",1,"Down-regulated"
"BP","GO:0032409","regulation of transporter activity","1/2","217/10432",0.0411720160176162,0.0624218247148173,"LOC106895786",1,"Down-regulated"
"BP","GO:0006520","amino acid metabolic process","1/2","243/10432",0.0460470074159552,0.0624218247148173,"LOC106895786",1,"Down-regulated"
"BP","GO:0051260","protein homooligomerization","1/2","259/10432",0.0490408265711042,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0030198","extracellular matrix organization","1/2","261/10432",0.0494147231323808,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0022412","cellular process involved in reproduction in multicellular organism","1/2","263/10432",0.0497885461751871,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0045229","external encapsulating structure organization","1/2","264/10432",0.0499754301271635,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0006066","alcohol metabolic process","1/2","272/10432",0.0514698400767416,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:1904062","regulation of monoatomic cation transmembrane transport","1/2","272/10432",0.0514698400767416,0.0624218247148173,"LOC106895786",1,"Down-regulated"
"BP","GO:0009914","hormone transport","1/2","282/10432",0.0533361983481281,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0043062","extracellular structure organization","1/2","286/10432",0.0540822270273896,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0034765","regulation of monoatomic ion transmembrane transport","1/2","302/10432",0.0570634010056148,0.0624218247148173,"LOC106895786",1,"Down-regulated"
"BP","GO:0043312","neutrophil degranulation","1/2","308/10432",0.0581801281926865,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0002283","neutrophil activation involved in immune response","1/2","310/10432",0.0585522235514364,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0042119","neutrophil activation","1/2","314/10432",0.0592961937135238,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0036230","granulocyte activation","1/2","318/10432",0.0600398698017295,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0002446","neutrophil mediated immunity","1/2","322/10432",0.0607832518160534,0.0624218247148173,"LOC106885081",1,"Down-regulated"
"BP","GO:0043299","leukocyte degranulation","1/2","340/10432",0.064124831716221,0.0636693698416293,"LOC106885081",1,"Down-regulated"
"BP","GO:0002275","myeloid cell activation involved in immune response","1/2","345/10432",0.0650519915271434,0.0636693698416293,"LOC106885081",1,"Down-regulated"
"BP","GO:0002444","myeloid leukocyte mediated immunity","1/2","353/10432",0.0665344914845026,0.0636693698416293,"LOC106885081",1,"Down-regulated"
"BP","GO:0034762","regulation of transmembrane transport","1/2","375/10432",0.0706053010934257,0.0648495096366663,"LOC106895786",1,"Down-regulated"
"BP","GO:1901615","organic hydroxy compound metabolic process","1/2","409/10432",0.0768790549112397,0.0648495096366663,"LOC106885081",1,"Down-regulated"
"BP","GO:0044270","cellular nitrogen compound catabolic process","1/2","410/10432",0.0770632554390434,0.0648495096366663,"LOC106895786",1,"Down-regulated"
"BP","GO:0016049","cell growth","1/2","413/10432",0.0776157467447491,0.0648495096366663,"LOC106885081",1,"Down-regulated"
"BP","GO:0002274","myeloid leukocyte activation","1/2","414/10432",0.0777998737540826,0.0648495096366663,"LOC106885081",1,"Down-regulated"
"BP","GO:0010817","regulation of hormone levels","1/2","416/10432",0.0781680726338961,0.0648495096366663,"LOC106885081",1,"Down-regulated"
"BP","GO:0051259","protein complex oligomerization","1/2","432/10432",0.0811110170074689,0.0648495096366663,"LOC106885081",1,"Down-regulated"
"BP","GO:0002366","leukocyte activation involved in immune response","1/2","444/10432",0.0833151375118878,0.0648495096366663,"LOC106885081",1,"Down-regulated"
"BP","GO:0002263","cell activation involved in immune response","1/2","446/10432",0.0836822336146443,0.0648495096366663,"LOC106885081",1,"Down-regulated"
"BP","GO:0007276","gamete generation","1/2","449/10432",0.0842327399216468,0.0648495096366663,"LOC106885081",1,"Down-regulated"
"BP","GO:0043269","regulation of monoatomic ion transport","1/2","457/10432",0.0856999480371449,0.0648495096366663,"LOC106895786",1,"Down-regulated"
"BP","GO:0002443","leukocyte mediated immunity","1/2","460/10432",0.0862498478167661,0.0648495096366663,"LOC106885081",1,"Down-regulated"
"BP","GO:0045055","regulated exocytosis","1/2","516/10432",0.0964842805747144,0.0712718600736579,"LOC106885081",1,"Down-regulated"
"BP","GO:0048871","multicellular organismal-level homeostasis","1/2","578/10432",0.107748027058326,0.0736611737070586,"LOC106895786",1,"Down-regulated"
"BP","GO:0048609","multicellular organismal reproductive process","1/2","593/10432",0.110462512784862,0.0736611737070586,"LOC106885081",1,"Down-regulated"
"BP","GO:0032504","multicellular organism reproduction","1/2","598/10432",0.111366422379493,0.0736611737070586,"LOC106885081",1,"Down-regulated"
"BP","GO:0043604","amide biosynthetic process","1/2","599/10432",0.111547149159566,0.0736611737070586,"LOC106895786",1,"Down-regulated"
"BP","GO:0006887","exocytosis","1/2","602/10432",0.11208921922208,0.0736611737070586,"LOC106885081",1,"Down-regulated"
"BP","GO:0048589","developmental growth","1/2","605/10432",0.112631123868036,0.0736611737070586,"LOC106885081",1,"Down-regulated"
"BP","GO:0098662","inorganic cation transmembrane transport","1/2","605/10432",0.112631123868036,0.0736611737070586,"LOC106895786",1,"Down-regulated"
"BP","GO:0019953","sexual reproduction","1/2","611/10432",0.113714436910272,0.0736611737070586,"LOC106885081",1,"Down-regulated"
"BP","GO:0044703","multi-organism reproductive process","1/2","645/10432",0.11984071267629,0.0764534052161339,"LOC106885081",1,"Down-regulated"
"BP","GO:0098660","inorganic ion transmembrane transport","1/2","657/10432",0.121997854878068,0.0766679370796973,"LOC106895786",1,"Down-regulated"
"BP","GO:0098655","monoatomic cation transmembrane transport","1/2","680/10432",0.126124979635383,0.0770498555922564,"LOC106895786",1,"Down-regulated"
"BP","GO:0002252","immune effector process","1/2","684/10432",0.126841747963391,0.0770498555922564,"LOC106885081",1,"Down-regulated"
"BP","GO:0003006","developmental process involved in reproduction","1/2","691/10432",0.128095384922126,0.0770498555922564,"LOC106885081",1,"Down-regulated"
"BP","GO:0019752","carboxylic acid metabolic process","1/2","727/10432",0.134528434885867,0.079779650043509,"LOC106895786",1,"Down-regulated"
"MF","GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","1/2","64/8908",0.0143182894399135,0.0159795950503763,"LOC106895786",1,"Down-regulated"
"MF","GO:0042562","hormone binding","1/2","94/8908",0.0209944459761799,0.0159795950503763,"LOC106885081",1,"Down-regulated"
"MF","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","1/2","102/8908",0.0227709229467862,0.0159795950503763,"LOC106895786",1,"Down-regulated"
"MF","GO:0046982","protein heterodimerization activity","1/2","401/8908",0.0880098441768856,0.0463209706194135,"LOC106885081",1,"Down-regulated"
"MF","GO:0019904","protein domain specific binding","1/2","598/8908",0.129761842284961,0.0546365651726154,"LOC106885081",1,"Down-regulated"
