"Gene_ID","s1319_F_BLO_01","s1323_I_BLO_01","s1324_S_BLO_01","s1330_I_BLO_01","s1639_F_BLO_01","s1647_F_BLO_01","s1670_S_BLO_01","s1680_S_BLO_01","s319_I_BLO_01"
"LOC106901280",3.1137717589917,6.03021756513753,4.65427519360935,4.98821932294869,3.88276484831147,0.985127457422372,2.87237495947707,4.3388038262062,0.906496455672725
"LOC106901117",11.6766440962189,4.30729826081252,15.1263943792304,8.31369887158116,0,5.91076474453423,5.74474991895415,5.20656459144744,9.06496455672725
"DCN",0,1.72291930432501,2.32713759680468,11.6391784202136,0,0,1.43618747973854,0.867760765241239,1.81299291134545
"LUM",0,0,2.32713759680468,1.66273977431623,0,0,0,0,1.81299291134545
"KERA",0,0,0,0,0,0,0,0,0
"EPYC",0,0,0,0,0,0,0,0,0
"ATP2B1",97.3053674684907,122.327270607076,119.847586235441,110.572194992029,94.4806113089123,82.7507064234793,78.9903113856195,118.88322483805,119.6575321488
"POC1B",47.4850193246235,70.6396914773253,57.0148711217145,40.7371244707477,59.5357276741091,48.2712454136962,64.6284365882341,57.2722105059218,80.6781845548725
"GALNT4",31.137717589917,51.6875791297502,48.8698895328982,39.9057545835895,63.4184925224206,49.2563728711186,70.3731865071883,64.2142966278517,101.527603035345
"DUSP6",16.3473017347064,8.61459652162504,10.472119185621,7.48232898442304,11.6482945449344,8.86614711680135,7.18093739869268,4.3388038262062,20.8494184804727
"KITLG",2.33532881924378,0,0,0,0,0.985127457422372,0,0,6.34547518970907
"TMTC3",3769.22071425945,22650.3586343087,34684.8223115753,2854.92419250097,2438.3763247396,2943.56084277805,3123.70776843132,2697.00045836977,2358.70377766043
"CEP290",3056.9454243901,4089.3489688154,5144.13765773673,1515.58730428924,1344.7308924652,2121.96454328779,2313.69802985878,1904.73487970452,2009.70264222643
"LOC106901207",1226.82607304273,1511.00022989303,1525.43869470546,842.177695691171,1026.34417490366,892.525476424669,779.849801498025,1035.2385929328,931.878356431561
"LOC106901209",93.4131527697511,80.9772073032753,75.6319718961519,123.042743299401,37.5333935336775,65.0184121898766,35.9046869934634,67.6853396888167,64.3612483527635
"LOC106900984",0,0,0,0,0,0,0,0,0
"MGAT4C",0,0,0,0,0,0,0,0,0
"NTS",3.1137717589917,0,0,0,0,0,0,0,0.906496455672725
"RASSF9",76.2874080952967,42.2115229559627,52.3605959281052,21.615617066111,56.9472177752348,29.5538237226712,33.0323120339863,52.0656459144744,29.9143830371999
"ALX1",0,0,0,0,0,0,0,0,1.81299291134545
"LRRIQ1",0,0,2.32713759680468,1.66273977431623,0,0,0,0,1.81299291134545
"TSPAN19",0,0,0,0,0,0,0,0,0
"LOC106901128",12.4550870359668,10.33751582595,9.3085503872187,4.98821932294869,12.9425494943716,14.7769118613356,10.0533123581698,11.2808899481361,6.34547518970907
"SLC6A15",23.3532881924378,19.8135719997376,10.472119185621,18.2901375174785,29.7678638370546,23.6430589781369,14.3618747973854,22.5617798962722,42.6053334166181
"TMTC2",0,0,0,1.66273977431623,0,0.985127457422372,0,0,3.6259858226909
"METTL25",133.113742696895,105.959537215988,115.193311041831,97.2702767974995,134.602514741464,154.665010815312,127.82068569673,92.8504018808126,97.9016172126543
"CCDC59",895.987823649862,799.434557206803,1111.20820247423,528.751248232562,896.918679959949,733.919955779667,601.762554010447,463.384248638822,511.264000999417
"PPFIA2",0,0,0,0,0,0,0,0,5.43897873403635
"ACSS3",3.89221469873963,6.89167721730003,1.16356879840234,4.15684943579058,0,0,1.43618747973854,2.60328229572372,0.906496455672725
"LOC106901172",0,0,0,0,0,0,0,0,1.81299291134545
"LIN7A",0,0,0,0,0,0.985127457422372,0,0,0
"MYF5",0,0,0,0,0,0,0,0,0
"MYF6",0,0,0,0,0,0,0,0,10.8779574680727
"LOC106901096",0,0,0,0,0,0,0,0,7.2519716453818
"OTOGL",1.55688587949585,0.861459652162504,0,0,0,0,2.87237495947707,0,3.6259858226909
"RPS16",9623.8900641036,8345.82111015033,10060.2158309866,5869.4714033363,10909.2749688058,7910.57348310165,6659.60134354759,6548.12273451039,7514.85561752689
"PPP1R12A",3566.04710698525,4214.26061837897,4373.85511319439,3760.28599961616,2866.7747130033,3567.14652332641,3528.71263771758,3519.63766381847,3471.88142522654
"PAWR",0,0,0,0,0,0,0,0,0.906496455672725
"SYT1",0,0,0,0,0,0,0,0,0.906496455672725
"LOC106901369",0,0,0,0,0,0,0,0,0
"LOC106901368",0,0,0,0,0,0,0,0,0
"NAV3",3.89221469873963,1.72291930432501,2.32713759680468,15.7960278560042,2.58850989887431,4.92563728711186,11.4894998379083,10.4131291828949,20.8494184804727
"LOC106901145",0,0,0,0,0,0,0,0,0
"E2F7",1.55688587949585,0,1.16356879840234,0,0,0,2.87237495947707,0,0
"CSRP2",0.778442939747925,4.30729826081252,2.32713759680468,1.66273977431623,0,0.985127457422372,0,0,6.34547518970907
"ZDHHC17",2605.44851933631,1969.29676484348,2564.50563167875,1512.26182474061,1863.7271271895,1790.96171759387,1482.14547909017,1679.1170807418,1853.78525185072
"OSBPL8",3716.2865943566,4184.97099020544,4653.11162481095,3762.78010927763,4157.14689759214,3523.80091519982,3448.28613885223,3548.27376907143,4416.45073203751
"BBS10",146.34727267261,63.7480142600253,95.4126414689917,101.42712623329,99.6576311066609,87.6763437105911,97.6607486222205,112.808899481361,114.218553414763
"LOC106901188",0,0,0,0,0,0,0,0,0
"NAP1L1",1235.38894537996,798.573097554641,745.847599775898,502.97878173066,494.405390684993,612.749278516715,504.101805388226,446.029033333997,738.794611373271
"PHLDA1",1.55688587949585,0,0,0,0,23.6430589781369,0,1.73552153048248,3.6259858226909
"KRR1",1680.65830691577,1958.09778936537,2107.22309390663,876.263861064654,1607.46464720095,1379.17844039132,1355.76098087318,1318.99636316668,995.333108328652
"GLIPR1",44.3712475656317,80.1157476511128,55.8513023233122,43.231234132222,58.241472724672,31.5240786375159,27.2875621150322,48.5946028535094,62.548255441418
"LOC106901160",0,0,0,0,0,0,0,0,0
"LOC106901164",3.1137717589917,3.44583860865001,0,1.66273977431623,0,0,1.43618747973854,0,0
"LOC106900994",0,0,0,0.831369887158116,2.58850989887431,1.97025491484474,1.43618747973854,5.20656459144744,0
"CCDC107",337.8442358506,472.941349037214,501.498152111407,285.991241182392,458.166252100753,278.791070450531,475.378055793456,518.920937614261,466.845674671453
"CAPS2",5.44910057823548,9.47605617378754,19.7806695728397,6.65095909726493,6.47127474718578,6.8958922019566,7.18093739869268,5.20656459144744,13.5974468350909
"KCNC2",0,0,0,0,0,0.985127457422372,0,0,0
"TRHDE",0,0,0,0,0,1.97025491484474,0,0,0.906496455672725
"TPH2",0.778442939747925,3.44583860865001,1.16356879840234,0.831369887158116,2.58850989887431,0,1.43618747973854,0.867760765241239,1.81299291134545
"TBC1D15",26407.8982880086,25628.4246518345,27058.7924068464,17353.1836546513,22595.1029072739,19167.6249390671,18837.0349842506,19044.7455147495,14077.8899565974
"RAB21",53874.4789740744,45923.5525971309,59908.6667233411,43254.5124890624,49669.6221945497,49511.520882591,44191.4887515548,38670.0229814453,34178.5423646844
"TMEM19",613.413036521365,820.109588858703,736.53904938868,642.648922773223,847.736991881337,592.061601910846,621.869178726786,562.308975876323,613.698100490435
"ZFC3H1",13461.6137570609,13757.5106450352,15534.8070274696,12973.5270891024,10165.0783728794,14145.4451611278,12401.4788875423,14260.7804159745,13227.5962811764
"LGR5",1.55688587949585,0,0,0,0,0,0,0,0
"TSPAN8",0,0,0,0,0,0,0,0,0.906496455672725
"PTPRR",0,0.861459652162504,0,1.66273977431623,0,0.985127457422372,0,0,0
"PTPRB",7.78442939747925,1.72291930432501,3.49070639520701,6.65095909726493,3.88276484831147,6.8958922019566,2.87237495947707,0.867760765241239,4.53248227836362
"KCNMB4",1.55688587949585,2.58437895648751,3.49070639520701,3.32547954863246,3.88276484831147,1.97025491484474,4.30856243921561,0.867760765241239,5.43897873403635
"CNOT2",5781.49571350784,5916.50489105207,5880.67670712541,3884.16011280272,4100.19967981691,4971.93827761071,4771.01480769142,3502.28244851364,3952.32454673308
"MYRFL",0,0,0,0,0,0,0,0,0
"RAB3IP",7.00598645773133,13.7833544346001,13.962825580828,5.81958921010681,12.9425494943716,6.8958922019566,8.61712487843122,8.67760765241239,22.6624113918181
"BEST3",0,0,0,0,0,0,1.43618747973854,0,0
"LOC106900940",105.08979686597,125.773109215726,161.736062977925,153.803429124251,222.611851303191,188.159344367673,146.491122933331,185.700803761625,228.437106829527
"LRRC10",0.778442939747925,1.72291930432501,1.16356879840234,1.66273977431623,1.29425494943716,0,1.43618747973854,0.867760765241239,0.906496455672725
"CCT2",3270.23878988103,3737.8734307331,4016.63949208487,3323.81680885815,5166.66575815312,2965.23364684134,3479.88226340647,2506.0930900167,3555.27909914843
"FRS2",4022.99311261728,5141.19120410582,5071.99639223579,4305.66464559188,4988.0585751308,3618.37315111237,4083.08100489666,4022.07114689314,3189.96102751232
"YEATS4",168.143674985552,188.659663823588,201.297402123604,137.176031381089,187.666967668387,172.397305048915,168.033935129409,117.147703307567,244.754043031636
"CPSF6",2779.81973783984,2693.78433231215,3353.40527699554,3685.46270977193,2539.3282107957,2620.43903674351,2440.08252807577,3235.01213281934,2438.47546575963
"CPM",205.508936093452,397.994359299077,283.91078681017,2.49410966147435,3.88276484831147,88.6614711680135,340.376432698033,26.9005837224784,4.53248227836362
"MDM2",19204.1873235813,17312.7546295098,17740.9334692404,12063.1770626643,14902.0514878194,16669.341707044,15619.9750296363,12649.3486749215,14620.8813335454
"LOC106900998",0,0,0,0,0,0,0,0,0
"LOC106901534",5.44910057823548,2.58437895648751,0,0,0,0.985127457422372,1.43618747973854,2.60328229572372,6.34547518970907
"NUP107",1935.20914821334,2113.16052675462,2107.22309390663,1848.96662903965,1703.2395134593,1779.1401881048,2138.48315733068,1518.58133917217,1634.41310957792
"RAP1B",5716.10650656902,7351.69667155481,5834.13395518932,4247.46875349081,6389.73668537123,3773.03816192768,5609.74829585872,6508.20573930929,4197.07858976471
"MDM1",485.748394402705,555.641475644815,431.684024207267,386.586997528524,381.805210083961,408.827894830284,267.130871231368,342.765502270289,413.362383786762
"IL22",0,0.861459652162504,0,0,1.29425494943716,0,0,0,0
"IL26",0,0,0,0,0,0,0,0,0
"IFNG",0,0,1.16356879840234,0,0,0.985127457422372,0,0,0
"DYRK2",24.9101740719336,21.5364913040626,22.1078071696444,9.97643864589739,14.2368044438087,17.7322942336027,12.9256873176468,22.5617798962722,14.5039432907636
"CAND1",3721.73569493483,3706.86088325525,3850.24915391333,4321.46067344788,4141.6158381989,3902.08985885002,4292.76437693848,3605.54597957735,3524.45821965555
"GRIP1",0,0,0,0,0,0,0,0,7.2519716453818
"LOC106901225",0,0,0,0,0,0,0,0,0
"LOC106900999",0,0,0,0,0,0,0,0,0
"LOC106901224",182.934090840762,206.750316519001,209.442383712421,217.818910435426,178.607183022327,175.352687421182,247.024246515028,229.956602788928,258.351489866727
"LOC106900946",31.137717589917,27.5667088692001,58.1784399201169,25.7724665019016,41.416158381989,14.7769118613356,58.88368666928,63.3465358626105,16.316936202109
"TMBIM4",5061.43599424101,6142.20731991865,6688.19345321664,5900.23208916115,8061.91408004404,5182.7555534991,6563.37678240511,5553.66889754393,3832.66701458428
"LLPH",1549.87989303812,1211.21227094048,2174.71008421397,942.773452037303,1668.29462982449,1063.93765401616,970.862736303251,730.654564333123,1141.27903769196
"HMGA2",0,0,0,0,0,0,0,0,3.6259858226909
"MSRB3",4.67065763848755,0,0,4.15684943579058,1.29425494943716,0,7.18093739869268,0,2.71948936701817
"LEMD3",659.341169966493,781.343904511391,703.959123033414,1067.47893511102,645.83321976914,740.815847981624,764.051739220901,822.637205448695,862.078129344761
"WIF1",0,0,0,0,0,0,0,0,0
"TBC1D30",55.2694487221027,33.5969264343376,33.7434951536678,42.3998642450639,28.4736088876174,27.5835688078264,57.4474991895415,58.139971271163,79.7716880991998
"LOC106901003",9.34131527697511,6.03021756513753,2.32713759680468,2.49410966147435,6.47127474718578,4.92563728711186,7.18093739869268,6.94208612192991,10.8779574680727
"GNS",2060.53846151276,2046.82813353811,2139.8030202619,1975.33485188768,2090.22174334101,1485.57220579294,2394.12452872414,1771.96748262261,2467.48335234116
"LOC106901311",32.6946034694129,32.7354667821751,13.962825580828,14.9646579688461,41.416158381989,23.6430589781369,37.3408744732019,18.222976070066,23.5689078474908
"RASSF3",131.556856817399,95.6220213900379,81.4498158881636,63.1841114240168,72.4782771684807,47.2861179562739,38.7770619529405,66.8175789235754,133.254978983891
"TBK1",2466.10723312143,3066.79636169851,2698.31604349502,1798.253065923,1490.9817017516,2118.0240334581,2806.3103354091,2170.26967386834,2022.39359260585
"XPOT",5878.80108097633,5888.93818218287,5714.28636895388,3965.63436174421,4286.57239253586,4620.24777531093,3436.79663901432,3582.98419968108,4023.93776673122
"RPL18A",16387.0023246336,20878.3361298104,18100.4762279468,11660.7940372797,17458.2050129578,13357.3431951899,13524.5774966978,14344.9532102029,10166.3577503696
"LOC106901456",1409.76016388349,1723.78076397717,1775.60598636197,1132.32578630935,1762.77524113341,1257.02263567095,1717.68022576729,1362.38440142875,1218.33123642414
"SRGAP1",0,0.861459652162504,0,0,0,1.97025491484474,1.43618747973854,0,0.906496455672725
"TMEM5",14.7904158552106,10.33751582595,4.65427519360935,11.6391784202136,7.76552969662293,18.7174216910251,12.9256873176468,17.3552153048248,9.97146101239997
"AVPR1A",0,0,0,0,0,0,0,0,1.81299291134545
"PPM1H",26.4670599514295,26.7052492170376,30.2527887584608,21.615617066111,28.4736088876174,30.5389511800935,27.2875621150322,59.8754928016455,45.3248227836362
"MON2",12238.6798987169,13966.8453405107,14979.7847106317,14250.5112357773,12279.8909602597,11273.7986227416,12246.3706397305,12332.6159956085,11268.6574404676
